Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
ETG,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.04,N/A,N/A,N/A,N/A,N/A,12.40 - 15.62,"
</"
ETH,Consumer Durables,Home Furnishings,15.22,1.05,1.899,2.59,2.56,1.13,75.60M,28.84M,851.30M,18.00 - 30.29,"
</"
ETJ,,,N/A,N/A,N/A,8.59,N/A,N/A,N/A,N/A,N/A,9.86 - 11.01,"
</"
ETM,Consumer Services,Broadcasting,21.01,5.55,0.378,N/A,1.13,0.76,104.20M,36.75M,298.40M,4.74 - 8.64,"
</"
ETN,Technology,Industrial Machinery/Components,13.82,1.75,4.121,2,2.34,1.2,2.27B,337.90M,19.44B,36.38 - 57.86,"
</"
ETO,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.54,N/A,N/A,N/A,N/A,N/A,16.65 - 22.09,"
</"
ETP,Public Utilities,Natural Gas Distribution,10.81,0.52,4.346,5.71,1.72,2.44,1.59B,300.55M,14.14B,40.19 - 51.00,"
</"
ETR,Public Utilities,Electric Utilities: Central,16.27,2.22,3.971,5.14,1.25,1.11,3.25B,177.73M,11.52B,61.55 - 74.50,"
</"
ETV,Finance,Closed-End Fund - Equity,9.02,N/A,1.431,11.15,0.92,50.97,N/A,63.82M,827.70M,11.55 - 13.40,"
</"
ETW,Finance,Closed-End Fund - Equity,108.64,N/A,0.103,11.3,0.91,31.88,N/A,107.21M,1.20B,10.04 - 11.57,"
</"
ETY,,,53.74,N/A,0.187,11.27,0.9,40.54,N/A,152.48M,1.54B,8.51 - 10.09,"
</"
EV,Finance,Investment Managers,21.05,1.4,1.72,4.92,6.69,3.39,419.10M,113.07M,4.14B,22.97 - 36.48,"
</"
EVC,Consumer Services,Broadcasting,45.85,3.6,0.041,6.38,22.65,0.77,65.00M,85.95M,163.30M,1.10 - 2.21,"
</"
EVER,,,29.01,1.46,0.503,0.27,1.4,1.83,N/A,120.66M,1.72B,0.00 - 0.00,"
</"
EVF,Finance,Closed-End Fund - Debt,7.75,N/A,1.003,5.64,1.09,12.41,N/A,36.76M,287.10M,6.67 - 7.94,"
</"
EVG,Finance,Closed-End Fund - Debt,27.47,N/A,0.643,6.12,0.99,15.05,N/A,18.88M,333.50M,16.20 - 17.87,"
</"
EVN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.72,N/A,N/A,N/A,N/A,N/A,13.00 - 14.52,"
</"
EVR,Finance,Investment Managers,43.06,0.9,0.89,2.14,2.72,1.75,N/A,29.27M,1.13B,20.57 - 38.48,"
</"
EVT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.1,N/A,N/A,N/A,N/A,N/A,14.84 - 18.45,"
</"
EW,Health Care,Industrial Specialties,40.13,1.79,2.241,N/A,6.79,5.7,420.00M,115.41M,10.78B,67.86 - 110.79,"
</"
EXAM,Health Care,Medical/Nursing Services,N/A,N/A,N/A,N/A,2.06,1,63.20M,34.27M,501.70M,9.62 - 15.49,"
</"
EXC,Public Utilities,Power Generation,17.46,N/A,1.801,6.68,1.23,1.25,6.95B,854.27M,26.51B,28.40 - 40.31,"
</"
EXD,,,N/A,N/A,N/A,9.55,N/A,N/A,N/A,N/A,N/A,16.33 - 18.49,"
</"
EXG,,,N/A,N/A,N/A,11.6,N/A,N/A,N/A,N/A,N/A,7.78 - 9.49,"
</"
EXH,Technology,Diversified Commercial Services,N/A,N/A,N/A,N/A,0.99,0.54,424.40M,62.80M,1.50B,10.00 - 23.49,"
</"
EXK,Basic Industries,Precious Metals,24.8,N/A,0.277,N/A,2.1,4.3,67.90M,99.55M,700.80M,6.85 - 11.42,"
</"
EXL,Consumer Services,Real Estate Investment Trusts,N/A,2.12,N/A,5.18,1.25,7.17,45.50M,44.70M,565.40M,10.88 - 13.19,"
</"
EXL-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.90 - 26.77,"
</"
EXM,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,0.03,0.18,94.10M,93.09M,52.13M,0.36 - 2.36,"
</"
EXP,Capital Goods,Building Materials,65.89,4.88,0.983,0.62,5.86,5.67,112.30M,48.94M,3.21B,29.64 - 67.42,"
</"
EXPR,Consumer Services,Clothing/Shoe/Accessory Stores,11.91,0.62,1.543,N/A,5.21,0.76,314.10M,86.00M,1.59B,10.47 - 26.27,"
</"
EXR,Consumer Services,Real Estate Investment Trusts,40.65,5.04,0.98,2.64,3.26,10.44,233.30M,104.33M,4.22B,25.91 - 40.05,"
</"
F,Capital Goods,Auto Manufacturing,2.94,1.06,4.409,1.93,2.62,0.37,11.64B,3.81B,49.64B,8.82 - 14.30,"
</"
F-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.16 - 28.10,"
</"
FAC,Finance,Property-Casualty Insurers,N/A,N/A,N/A,N/A,0.69,0.23,N/A,40.85M,48.20M,1.01 - 1.61,"
</"
FAF,Finance,Specialty Insurers,10.42,0.24,2.292,1.51,1.12,0.6,477.50M,106.69M,2.57B,14.46 - 25.82,"
</"
FAM,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,8.59,N/A,N/A,N/A,N/A,N/A,16.30 - 18.70,"
</"
FAV,,,N/A,N/A,N/A,9.03,N/A,N/A,N/A,N/A,N/A,7.00 - 8.80,"
</"
FBC,Finance,Savings Institutions,4.21,1.67,3.74,N/A,0.88,0.89,N/A,59.09M,944.80M,0.65 - 20.38,"
</"
FBHS,,,180.88,1.85,0.181,N/A,2.25,1.51,276.50M,162.81M,5.39B,18.28 - 32.94,"
</"
FBN,Consumer Durables,Home Furnishings,N/A,1.08,N/A,N/A,0.68,0.07,N/A,56.33M,84.50M,0.88 - 2.10,"
</"
FBP,Finance,Major Banks,3.91,5.37,1.312,N/A,0.74,2.95,N/A,205.39M,1.10B,3.20 - 5.21,"
</"
FBR,Basic Industries,Paper,N/A,N/A,N/A,N/A,0.87,2.14,1.26B,525.92M,6.55B,6.00 - 13.28,"
</"
FBS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.25 - 26.52,"
</"
FC,Consumer Durables,Publishing,28.27,0.9,0.491,N/A,2.72,1.44,24.70M,18.21M,256.40M,8.07 - 13.97,"
</"
FCE.A,Consumer Services,Building operators,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.92 - 17.46,"
</"
FCE.B,Consumer Services,Building operators,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.09 - 17.23,"
</"
FCF,Finance,Major Banks,17.5,3.1,0.404,2.12,0.94,3.18,N/A,101.79M,729.80M,5.57 - 7.61,"
</"
FCH,Consumer Services,Real Estate Investment Trusts,N/A,2.62,N/A,N/A,35.87,0.67,168.30M,124.21M,673.20M,3.34 - 5.73,"
</"
FCH-A,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.91 - 26.99,"
</"
FCH-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.82 - 27.03,"
</"
FCN,Consumer Services,Professional Services,15.44,1.25,2.105,N/A,1.12,0.84,254.00M,40.37M,1.30B,22.88 - 45.00,"
</"
FCS,Technology,Semiconductors,77.74,2,0.19,N/A,1.37,1.33,195.40M,126.91M,1.95B,11.14 - 15.90,"
</"
FCT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.39,N/A,N/A,N/A,N/A,N/A,13.70 - 16.11,"
</"
FCX,Basic Industries,Precious Metals,11.05,2.31,3.19,3.55,1.91,1.86,6.93B,949.01M,33.91B,30.54 - 47.28,"
</"
FCY,Consumer Services,Building operators,N/A,N/A,N/A,7.46,3.33,3.87,437.90M,178.45M,4.45B,22.88 - 25.26,"
</"
FDI,Finance,Closed-End Fund - Debt,8.18,N/A,2.012,9.26,0.92,20.93,N/A,8.77M,144.30M,15.76 - 17.63,"
</"
FDO,Consumer Services,Department/Specialty Retail Stores,15.78,1.32,3.594,1.48,4.85,0.68,915.40M,115.81M,6.50B,53.26 - 74.73,"
</"
FDP,Consumer Non-Durables,Farming/Seeds/Milling,11.48,1.49,2.296,1.52,0.84,0.45,218.50M,58.11M,1.57B,21.80 - 27.50,"
</"
FDS,Technology,"Computer Software: Programming, Data Processing",21.82,1.47,4.24,1.3,6.99,4.98,311.60M,44.19M,4.14B,85.38 - 109.20,"
</"
FDX,Transportation,Air Freight/Delivery Services,16.28,1.28,6.231,0.54,2.05,0.73,5.45B,314.46M,32.31B,83.80 - 103.14,"
</"
FE,Public Utilities,Electric Utilities: Central,16.73,3.03,2.42,4.08,1.26,1.08,3.88B,418.23M,16.93B,39.18 - 51.14,"
</"
FEI,,,N/A,N/A,N/A,0.52,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
FENG,,,15.68,0.53,0.227,N/A,1.27,1.6,17.10M,77.99M,279.20M,2.88 - 7.80,"
</"
FEO,,,N/A,N/A,N/A,6.09,N/A,N/A,N/A,N/A,N/A,18.19 - 23.90,"
</"
FET,,,13.16,0.73,1.939,N/A,1.88,1.49,306.50M,83.21M,2.16B,0.00 - 0.00,"
</"
FF,Basic Industries,Major Chemicals,13.72,N/A,0.929,12.55,1.71,1.44,68.30M,41.33M,538.50M,9.01 - 12.93,"
</"
FFA,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.19,N/A,N/A,N/A,N/A,N/A,10.90 - 12.68,"
</"
FFC,,,12.84,N/A,1.586,8.59,1.18,10.25,N/A,43.16M,866.30M,17.24 - 20.74,"
</"
FFG,Finance,Life Insurance,N/A,1.24,N/A,1.15,0.75,1.41,120.70M,25.79M,901.10M,24.70 - 36.65,"
</"
FGB,,,N/A,N/A,N/A,7.83,N/A,N/A,N/A,N/A,N/A,6.84 - 8.63,"
</"
FGC,Consumer Non-Durables,Farming/Seeds/Milling,N/A,N/A,N/A,6.5,N/A,N/A,N/A,N/A,N/A,25.01 - 26.70,"
</"
FGP,Consumer Services,Other Specialty Stores,411.06,N/A,0.047,10.35,N/A,0.71,189.00M,79.03M,1.53B,13.35 - 21.85,"
</"
FHN,Finance,Major Banks,N/A,1.68,N/A,0.39,N/A,1.97,N/A,247.10M,2.56B,7.44 - 10.99,"
</"
FHY,,,N/A,N/A,N/A,9.04,N/A,N/A,N/A,N/A,N/A,15.32 - 18.08,"
</"
FICO,Miscellaneous,Business Services,18.9,1.35,2.385,0.18,3.1,2.27,191.70M,35.03M,1.59B,38.02 - 47.86,"
</"
FIF,Finance,Credit Services,N/A,N/A,N/A,11.03,N/A,N/A,N/A,N/A,N/A,19.53 - 22.88,"
</"
FIG,Finance,Investment Managers,N/A,0.78,N/A,3.91,2.09,1.74,N/A,220.30M,1.18B,2.86 - 5.30,"
</"
FII,Finance,Investment Managers,13.22,1.92,1.79,10.44,4.71,2.51,323.10M,100.38M,2.38B,17.38 - 23.89,"
</"
FIO,,,N/A,1.58,N/A,N/A,3.28,3.81,24.30M,95.83M,1.63B,16.50 - 33.87,"
</"
FIS,Miscellaneous,Business Services,25.09,1.25,1.479,2.16,1.64,1.85,1.72B,293.20M,11.04B,28.52 - 37.93,"
</"
FIX,Capital Goods,Engineering & Construction,45.62,15.5,0.283,1.55,1.79,0.36,39.30M,37.16M,483.40M,8.81 - 13.14,"
</"
FJA,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.99,N/A,N/A,N/A,N/A,N/A,24.54 - 25.95,"
</"
FL,Consumer Services,Clothing/Shoe/Accessory Stores,14.13,1.11,2.431,2.1,2.26,0.87,693.00M,150.72M,5.21B,26.40 - 37.65,"
</"
FLC,Finance,Closed-End Fund - Debt,12.67,N/A,1.683,8.24,1.15,10.28,N/A,9.85M,208.60M,18.30 - 21.69,"
</"
FLO,Consumer Non-Durables,Packaged Foods,30.55,3.64,0.88,2.34,4.3,1.26,297.70M,138.18M,3.79B,18.46 - 27.81,"
</"
FLR,Basic Industries,Military/Government/Technical,17.95,1.5,3.611,0.99,2.93,0.4,1.25B,166.50M,10.96B,44.99 - 66.67,"
</"
FLS,Capital Goods,Fluid Controls,19.64,1.23,7.983,0.92,3.89,1.67,746.30M,49.99M,7.80B,98.41 - 158.64,"
</"
FLT,Miscellaneous,Business Services,26.34,1.29,2.272,N/A,4.88,7.84,325.70M,84.52M,5.07B,33.73 - 60.60,"
</"
FLTX,,,261.15,1.6,0.096,N/A,N/A,7.6,19.80M,35.64M,895.60M,0.00 - 0.00,"
</"
FLY,Consumer Services,Rental/Leasing Companies,48.35,N/A,0.266,6.69,0.69,0.9,328.20M,25.77M,331.90M,11.06 - 14.17,"
</"
FMC,Basic Industries,Major Chemicals,21.89,1.6,2.808,0.66,5.93,2.31,814.60M,137.39M,8.58B,45.23 - 62.06,"
</"
FMD,Finance,Finance: Consumer Services,0.08,0.05,11.559,N/A,0.46,2.34,N/A,102.19M,101.17M,0.61 - 1.52,"
</"
FMN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.95,N/A,N/A,N/A,N/A,N/A,14.51 - 17.59,"
</"
FMO,,,N/A,N/A,N/A,4.69,N/A,N/A,N/A,N/A,N/A,20.05 - 24.45,"
</"
FMS,Health Care,Hospital/Nursing Management,17.41,1.9,2.0215,1.29,2.5,1.58,2.78B,612.23M,21.73B,32.14 - 78.20,"
</"
FMS.P,Health Care,Hospital/Nursing Management,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.75 - 58.84,"
</"
FMX,Consumer Non-Durables,Beverages (Production/Distribution),30.31,2.34,3.56,1.31,3.39,2.13,2.95B,357.83M,39.71B,71.64 - 111.92,"
</"
FMY,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,10.45,N/A,N/A,N/A,N/A,N/A,16.99 - 20.64,"
</"
FN,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,1.88,0.94,43.40M,34.50M,497.80M,9.25 - 21.04,"
</"
FNB,Finance,Major Banks,14.67,2.66,0.79,4.14,1.16,3.36,N/A,139.34M,1.65B,9.89 - 12.50,"
</"
FNF,Finance,Specialty Insurers,8.94,1.76,2.809,2.31,1.34,0.89,908.60M,221.31M,5.59B,17.14 - 26.41,"
</"
FNF-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.84 - 30.54,"
</"
FNP,,,18.41,N/A,0.82,N/A,N/A,1.17,30.00M,113.16M,1.75B,0.00 - 0.00,"
</"
FNV,,,247.36,N/A,0.216,1.05,2.43,18.15,348.30M,146.54M,7.94B,37.51 - 61.60,"
</"
FOE,Basic Industries,Paints/Coatings,N/A,7.08,N/A,N/A,1.68,0.24,89.70M,86.54M,457.80M,2.38 - 7.50,"
</"
FOF,,,N/A,N/A,N/A,7.87,N/A,N/A,N/A,N/A,N/A,11.77 - 13.44,"
</"
FOR,Finance,Real Estate,N/A,4.98,N/A,N/A,1.26,4.15,21.00M,34.47M,659.80M,11.13 - 20.07,"
</"
FPC-A,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 26.24,"
</"
FPO,Consumer Services,Real Estate Investment Trusts,N/A,2.96,N/A,4.38,1.37,3.7,105.20M,51.07M,714.50M,10.94 - 15.05,"
</"
FPO-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.92 - 26.67,"
</"
FPT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.05,N/A,N/A,N/A,N/A,N/A,14.21 - 16.21,"
</"
FR,Consumer Services,Real Estate Investment Trusts,N/A,16.71,N/A,N/A,1.33,4.7,199.10M,98.35M,1.55B,11.05 - 15.73,"
</"
FR-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.65 - 25.70,"
</"
FR-K,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.70 - 25.50,"
</"
FRA,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.54,N/A,N/A,N/A,N/A,N/A,13.70 - 15.85,"
</"
FRC,Finance,Savings & Loans,12.93,1.22,2.76,0.84,1.62,3.67,N/A,131.27M,4.76B,29.21 - 36.24,"
</"
FRC-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.51 - 27.89,"
</"
FRC-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
FRC-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
FRF,Finance,Specialty Insurers,11.14,0.98,0.823,N/A,1.32,0.74,38.90M,19.65M,181.80M,6.71 - 9.26,"
</"
FRM,Basic Industries,Engineering & Construction,18.31,11.87,0.29,N/A,1.63,0.63,19.90M,37.30M,202.90M,3.69 - 8.00,"
</"
FRO,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,1.99,0.41,132.60M,77.85M,274.80M,3.02 - 9.47,"
</"
FRT,Consumer Services,Real Estate Investment Trusts,47.11,3.85,2.247,2.68,5.35,11.5,390.50M,64.63M,6.87B,94.56 - 110.51,"
</"
FRX,Consumer Durables,Major Pharmaceuticals,84.62,N/A,0.429,N/A,1.67,2.89,259.40M,266.01M,9.70B,31.16 - 38.45,"
</"
FSCE,,,N/A,N/A,N/A,1.71,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
FSD,,,N/A,N/A,N/A,8.3,N/A,N/A,N/A,N/A,N/A,16.78 - 19.33,"
</"
FSL,Technology,Semiconductor - Specialized,N/A,5.76,N/A,N/A,N/A,0.91,724.00M,248.99M,3.69B,7.63 - 17.84,"
</"
FSM,,,24.47,N/A,0.17,N/A,2.05,3.38,64.10M,125.27M,527.40M,3.10 - 7.67,"
</"
FSS,Capital Goods,Auto Manufacturing,N/A,2.87,N/A,N/A,3.17,0.56,64.00M,62.29M,522.60M,4.25 - 8.63,"
</"
FST,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,3.31,1.28,376.70M,115.45M,809.30M,5.68 - 14.78,"
</"
FT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.65,N/A,N/A,N/A,N/A,N/A,4.65 - 7.56,"
</"
FTE,Public Utilities,Telecommunications Equipment,6.39,N/A,1.784,15.42,0.85,0.52,18.59B,2.63B,30.38B,10.20 - 15.87,"
</"
FTI,Energy,Metal Fabrications,28.02,1.51,1.69,N/A,6.51,1.94,712.30M,237.73M,11.37B,36.89 - 55.19,"
</"
FTK,Basic Industries,Major Chemicals,24.83,1.04,0.542,N/A,5.13,2.13,73.60M,49.24M,690.80M,8.46 - 14.73,"
</"
FTT,,,N/A,N/A,N/A,6.11,N/A,N/A,N/A,N/A,N/A,14.11 - 16.00,"
</"
FUL,Basic Industries,Home Furnishings,15.78,3.76,2.477,0.84,2.51,1.03,201.30M,49.94M,1.99B,28.11 - 40.18,"
</"
FUN,Consumer Services,Services-Misc. Amusement & Recreation,18.67,3.09,2.01,4.26,11.2,1.92,382.20M,55.53M,2.12B,25.00 - 37.69,"
</"
FUR,Consumer Services,Real Estate Investment Trusts,41.07,2.43,0.291,5.46,1.15,5.85,34.30M,33.09M,397.40M,10.04 - 12.67,"
</"
FUR-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.85 - 28.58,"
</"
FVE,Health Care,Hospital/Nursing Management,3.58,2.93,1.583,N/A,0.9,0.21,44.80M,47.93M,279.90M,2.98 - 5.98,"
</"
FXCM,Finance,Investment Bankers/Brokers/Service,26.94,0.99,0.445,2,1.94,0.98,82.90M,34.23M,424.40M,8.50 - 13.70,"
</"
G,Consumer Services,Professional Services,20.45,1.21,0.819,13.37,3.26,2.04,325.20M,224.18M,3.76B,14.85 - 19.52,"
</"
GA,Miscellaneous,Business Services,7.96,0.61,0.778,4.85,3,4.42,213.80M,236.44M,1.45B,4.08 - 6.61,"
</"
GAB,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,9.33,1.13,40.3,N/A,186.14M,1.13B,5.02 - 6.08,"
</"
GAB-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.20 - 26.47,"
</"
GAB-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
GAB-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
GAM,Finance,Closed-End Fund - Debt,3.77,N/A,7.854,4.73,0.87,44.34,N/A,28.56M,858.30M,25.73 - 29.84,"
</"
GAM-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.16 - 26.34,"
</"
GAS,Public Utilities,Oil/Gas Transmission,22.39,N/A,1.867,4.17,1.46,1.41,966.00M,117.79M,4.98B,36.59 - 42.00,"
</"
GAT,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,7.59,N/A,N/A,N/A,N/A,N/A,26.65 - 32.50,"
</"
GB,Energy,Industrial Machinery/Components,99.4,1.28,0.267,N/A,1.31,1,117.00M,23.69M,633.80M,20.29 - 27.70,"
</"
GBAB,,,N/A,N/A,N/A,6.9,N/A,N/A,N/A,N/A,N/A,20.60 - 24.50,"
</"
GBL,Finance,Investment Bankers/Brokers/Service,18.28,1.79,3.082,5.11,3.36,4.48,118.50M,26.24M,1.51B,38.69 - 57.98,"
</"
GBX,Capital Goods,Railroads,11.18,0.92,1.782,N/A,1.21,0.3,151.70M,27.20M,543.90M,13.10 - 26.28,"
</"
GCA,Finance,Finance: Consumer Services,19.36,1.14,0.39,N/A,2.64,0.86,77.30M,66.60M,502.80M,4.87 - 8.71,"
</"
GCAP,Finance,Investment Bankers/Brokers/Service,62.17,0.97,0.069,4.66,0.89,0.99,N/A,35.13M,151.40M,3.86 - 6.67,"
</"
GCH,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.39,1.15,40.1,N/A,24.26M,324.90M,9.85 - 13.40,"
</"
GCI,Consumer Services,Newspapers/Magazines,10.66,1.74,1.841,4.08,1.85,0.86,1.00B,229.79M,4.56B,12.17 - 20.61,"
</"
GCO,Consumer Services,Clothing/Shoe/Accessory Stores,13.26,0.82,4.701,N/A,1.96,0.59,246.10M,24.14M,1.52B,50.33 - 78.97,"
</"
GCV,Finance,Closed-End Fund - Debt,162.31,N/A,0.035,8.45,1.02,27.33,N/A,13.61M,78.40M,4.95 - 6.05,"
</"
GCV-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.13 - 26.53,"
</"
GD,Capital Goods,Marine Transportation,N/A,1.84,N/A,3.08,2.06,0.74,3.85B,353.67M,23.30B,61.09 - 74.54,"
</"
GDF,Finance,Closed-End Fund - Debt,8.12,N/A,1.648,8.51,1.11,10.73,N/A,15.53M,209.40M,11.51 - 14.05,"
</"
GDI,Technology,Industrial Machinery/Components,13.04,0.84,5.398,0.28,2.53,1.45,471.40M,49.10M,3.46B,45.54 - 80.23,"
</"
GDL,,,N/A,N/A,N/A,10.86,N/A,N/A,N/A,N/A,N/A,11.09 - 12.84,"
</"
GDL-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.05 - 51.55,"
</"
GDO,,,N/A,N/A,N/A,7.32,N/A,N/A,N/A,N/A,N/A,18.49 - 21.20,"
</"
GDOT,Finance,Finance: Consumer Services,10.53,0.61,1.272,N/A,1.53,0.88,95.80M,35.88M,487.90M,9.05 - 32.49,"
</"
GDP,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,2.7,1.97,134.70M,36.39M,365.70M,7.77 - 20.67,"
</"
GDV,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.39,1.01,25.7,N/A,82.84M,1.48B,14.43 - 17.80,"
</"
GDV-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.16 - 26.39,"
</"
GDV-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.53 - 28.53,"
</"
GE,Energy,Consumer Electronics/Appliances,17.24,1.21,1.292,3.14,1.89,1.58,28.74B,10.45B,236.30B,18.02 - 23.18,"
</"
GE-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.15 - 28.51,"
</"
GEB,,,N/A,N/A,N/A,1.28,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
GED,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.76,N/A,N/A,N/A,N/A,N/A,25.13 - 26.49,"
</"
GEF,Consumer Durables,Containers/Packaging,17.64,1.42,2.663,3.58,1.85,0.52,473.20M,47.47M,2.28B,38.78 - 56.88,"
</"
GEF.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.15 - 57.61,"
</"
GEG,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.94,N/A,N/A,N/A,N/A,N/A,25.07 - 26.25,"
</"
GEJ,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.93,N/A,N/A,N/A,N/A,N/A,25.06 - 26.10,"
</"
GEL,Energy,Oil Refining/Marketing,39.73,1.01,1.014,4.63,3.53,0.91,159.50M,81.20M,3.31B,26.70 - 40.33,"
</"
GEO,Consumer Services,Diversified Commercial Services,27.9,1.49,1.169,1.23,1.89,1.19,303.00M,61.01M,2.01B,16.90 - 33.28,"
</"
GEP,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.41,N/A,N/A,N/A,N/A,N/A,25.27 - 26.95,"
</"
GEQ,,,N/A,N/A,N/A,9.53,N/A,N/A,N/A,N/A,N/A,17.34 - 20.01,"
</"
GES,Consumer Non-Durables,Apparel,11.91,1.32,2.275,7.38,2.1,0.88,378.00M,85.19M,2.32B,22.48 - 37.15,"
</"
GF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,3.73,N/A,N/A,N/A,N/A,N/A,12.57 - 17.14,"
</"
GFA,Basic Industries,Homebuilding,N/A,N/A,N/A,N/A,0.82,0.64,N/A,216.18M,1.11B,2.05 - 6.78,"
</"
GFF,Capital Goods,Building Products,43.7,1.81,0.27,0.72,0.99,0.35,141.00M,55.15M,650.80M,7.54 - 12.24,"
</"
GFI,Basic Industries,Precious Metals,9.67,N/A,1.202,4.24,1.49,1.61,2.20B,728.82M,8.83B,11.09 - 16.90,"
</"
GFIG,Finance,Investment Bankers/Brokers/Service,N/A,1.79,N/A,7.35,0.91,0.44,N/A,118.26M,415.10M,2.20 - 4.93,"
</"
GFY,Finance,Closed-End Fund - Debt,7.49,N/A,2.455,4.56,1,16.52,N/A,6.66M,122.90M,15.83 - 18.99,"
</"
GG,Basic Industries,Precious Metals,18.78,1.51,1.879,1.54,1.28,5.19,2.99B,811.01M,28.88B,31.54 - 50.74,"
</"
GGB,Capital Goods,Steel/Iron Ore,17.66,1.72,0.5,1.37,1.12,0.8,2.12B,1.70B,15.08B,7.52 - 10.82,"
</"
GGC,Basic Industries,Major Chemicals,22.28,2.92,2.45,0.44,3.22,0.59,278.10M,34.54M,1.88B,23.80 - 51.28,"
</"
GGE,,,N/A,N/A,N/A,6.77,N/A,N/A,N/A,N/A,N/A,15.57 - 18.56,"
</"
GGG,Capital Goods,Fluid Controls,23.64,2.3,2.42,1.62,7.65,3.43,270.40M,60.69M,3.50B,41.09 - 58.25,"
</"
GGP,Consumer Services,Real Estate Investment Trusts,N/A,1.66,N/A,2.15,2.38,6.5,1.78B,938.34M,18.75B,15.85 - 21.25,"
</"
GGS,Energy,Oil & Gas Production,8.66,N/A,0.441,N/A,1.06,0.36,215.10M,37.56M,146.50M,3.61 - 11.76,"
</"
