Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
DRWI,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.96,0.76,N/A,38.05M,78.00M,1.75 - 4.93,"
</"
DRYS,Transportation,Marine Transportation,N/A,0.7,N/A,N/A,0.3,0.71,538.40M,413.75M,926.80M,1.46 - 3.84,"
</"
DSCI,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,2.52,2.3,N/A,12.96M,158.80M,7.95 - 12.89,"
</"
DSCO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,4.25,N/A,N/A,43.53M,101.00M,1.71 - 5.39,"
</"
DSGX,Technology,Computer Software: Prepackaged Software,47.05,1.34,0.2,N/A,2.6,4.8,34.80M,62.62M,588.60M,7.02 - 9.76,"
</"
DSKX,,,N/A,N/A,N/A,N/A,5.89,3.46,N/A,12.09M,40.50M,0.00 - 0.00,"
</"
DSPG,Technology,Semiconductors,N/A,8.2,N/A,N/A,1,0.88,N/A,21.73M,147.10M,5.05 - 6.95,"
</"
DSTI,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.31,N/A,N/A,4.26M,6.30M,0.90 - 3.01,"
</"
DSWL,Consumer Non-Durables,Plastic Products,N/A,N/A,N/A,10.98,0.39,0.69,1.90M,16.64M,41.60M,1.95 - 2.93,"
</"
DTLK,Technology,EDP Services,15.18,0.57,0.579,N/A,1.77,0.35,21.80M,18.52M,162.80M,6.94 - 11.00,"
</"
DTSI,Consumer Non-Durables,Consumer Electronics/Appliances,N/A,11.48,N/A,N/A,1.97,3.5,24.40M,18.33M,353.20M,13.90 - 32.00,"
</"
DTV,Consumer Services,Telecommunications Equipment,12.56,0.66,4.071,N/A,N/A,1.06,7.14B,604.14M,31.26B,42.87 - 55.17,"
</"
DVAX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,4.23,28.56,N/A,178.71M,555.80M,2.22 - 5.34,"
</"
DVOX,Technology,EDP Services,N/A,0.35,N/A,N/A,0.41,0.04,12.00M,10.99M,3.74M,0.22 - 4.08,"
</"
DWA,Consumer Services,Movies/Entertainment,21.23,3.17,0.82,N/A,1.03,2.09,103.00M,84.34M,1.48B,16.04 - 22.98,"
</"
DWCH,Technology,Computer Software: Prepackaged Software,368.48,N/A,0.033,N/A,7.63,2.92,2.30M,6.38M,79.70M,8.81 - 20.83,"
</"
DWSN,Energy,Oil & Gas Production,19.09,1.75,1.4,N/A,1.04,0.66,49.10M,7.84M,209.60M,20.20 - 39.21,"
</"
DXCM,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,13.14,11.85,N/A,69.31M,1.08B,9.36 - 15.55,"
</"
DXLG,,,6.2,0.54,0.74,N/A,1.4,0.55,28.10M,48.04M,221.00M,0.00 - 0.00,"
</"
DXPE,Capital Goods,Industrial Machinery/Components,18.74,0.62,3.036,N/A,4.11,0.79,96.80M,14.18M,823.10M,36.52 - 57.95,"
</"
DXYN,Consumer Durables,Home Furnishings,N/A,N/A,N/A,N/A,0.83,0.2,11.40M,12.65M,54.00M,2.95 - 4.79,"
</"
DYAX,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,N/A,6.69,N/A,99.20M,320.40M,1.32 - 3.74,"
</"
DYNT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,1.57,0.32,520.00K,2.53M,9.50M,0.40 - 4.24,"
</"
DYSL,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.8,0.32,574.00K,14.81M,15.70M,0.75 - 2.42,"
</"
EA,,,28.76,1.2,0.547,N/A,2.44,1.21,399.00M,304.01M,4.92B,10.77 - 19.96,"
</"
EAC,,,5.77,1.04,2.033,N/A,1.07,0.66,36.10M,9.68M,115.80M,0.00 - 0.00,"
</"
EAGL,Consumer Services,Air Delivery & Freight Services,N/A,N/A,N/A,N/A,46.25,N/A,N/A,23.16M,232.49M,9.59 - 10.38,"
</"
EAGLU,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.90 - 11.92,"
</"
EAGLW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EBAY,Miscellaneous,Business Services,28.13,1.38,1.99,N/A,3.47,5.15,4.09B,1.29B,74.03B,32.39 - 56.66,"
</"
EBIX,Technology,EDP Services,9.28,0.47,1.76,0.86,1.72,3.22,78.00M,37.28M,608.80M,15.26 - 26.90,"
</"
EBMT,Finance,Savings Institutions,24.74,1.26,0.43,2.67,0.78,2.59,N/A,3.90M,41.50M,9.75 - 11.07,"
</"
EBOD,,,N/A,N/A,N/A,N/A,0.63,0.48,N/A,2.24M,3.80M,0.00 - 0.00,"
</"
EBSB,Finance,Banks,30.67,3.32,0.57,N/A,1.61,4.78,N/A,21.51M,385.10M,12.51 - 17.98,"
</"
EBTC,Finance,Major Banks,13.46,N/A,1.28,2.55,1.19,2.34,N/A,9.68M,165.10M,14.01 - 18.19,"
</"
ECHO,Transportation,Oil Refining/Marketing,30.44,0.96,0.61,N/A,3.11,0.61,26.70M,23.16M,434.30M,15.50 - 20.10,"
</"
ECOL,Public Utilities,Environmental Services,16.5,2.56,1.44,3.03,3.89,2.71,57.50M,18.25M,440.40M,16.52 - 25.05,"
</"
ECPG,Finance,Finance Companies,11.75,0.64,2.56,N/A,1.74,1.37,160.20M,25.00M,761.10M,20.90 - 31.49,"
</"
ECTE,,,N/A,N/A,N/A,N/A,5.55,237.56,N/A,40.24M,33.40M,0.92 - 2.36,"
</"
ECTY,Consumer Durables,Metal Fabrications,N/A,N/A,N/A,N/A,0.88,0.28,N/A,23.68M,13.50M,0.26 - 1.32,"
</"
ECYT,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.62,17.64,N/A,35.91M,358.70M,3.39 - 10.97,"
</"
EDAC,Capital Goods,Aerospace,13.61,N/A,0.999,N/A,2.03,0.71,13.50M,5.25M,71.30M,9.15 - 15.40,"
</"
EDAP,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,3.81,1.51,N/A,18.26M,55.50M,1.43 - 3.05,"
</"
EDGW,Technology,"Computer Software: Programming, Data Processing",N/A,0.9,N/A,N/A,1.42,0.48,5.30M,10.92M,46.40M,3.04 - 4.48,"
</"
EDMC,Consumer Services,Other Consumer Services,N/A,0.89,N/A,N/A,1.03,0.21,394.00M,124.55M,495.70M,2.84 - 21.98,"
</"
EDS,Finance,Business Services,1.47,N/A,1.031,N/A,0.15,0.11,48.90M,32.97M,47.80M,1.18 - 4.48,"
</"
EDUC,Consumer Durables,Consumer Specialties,12.34,N/A,0.32,12.15,1.12,0.61,2.10M,3.96M,15.30M,3.75 - 5.05,"
</"
EEFT,Finance,Investment Bankers/Brokers/Service,28.45,1.1,0.86,N/A,2.2,1.01,146.90M,50.85M,1.25B,15.91 - 25.19,"
</"
EEI,Consumer Services,Military/Government/Technical,N/A,N/A,N/A,3.72,1.12,0.37,6.00M,4.24M,54.70M,10.61 - 17.29,"
</"
EEMA,,,N/A,N/A,N/A,1.55,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EEME,,,N/A,N/A,N/A,3.19,N/A,N/A,N/A,N/A,N/A,47.29 - 76.64,"
</"
EEML,,,N/A,N/A,N/A,2.2,N/A,N/A,N/A,N/A,N/A,44.87 - 59.00,"
</"
EFII,Technology,Computer Communications Equipment,13,1.21,1.74,N/A,1.65,1.65,65.60M,47.57M,1.08B,13.95 - 23.30,"
</"
EFSC,Finance,Major Banks,9.79,1.4,1.37,1.57,1.02,1.88,N/A,18.01M,244.80M,9.94 - 14.50,"
</"
EFUT,Technology,EDP Services,N/A,N/A,N/A,N/A,0.78,0.51,269.00K,3.89M,15.00M,2.76 - 6.07,"
</"
EGAN,,,N/A,N/A,N/A,N/A,121.67,4.18,N/A,24.63M,184.20M,3.31 - 7.62,"
</"
EGBN,Finance,Major Banks,14.01,1.26,1.61,N/A,1.77,3.89,N/A,22.95M,519.90M,14.80 - 22.91,"
</"
EGHT,Public Utilities,Telecommunications Equipment,6.48,2.26,1.021,N/A,3.55,4.61,13.80M,71.85M,503.64M,3.76 - 7.95,"
</"
EGLE,Transportation,Marine Transportation,N/A,0.01,N/A,N/A,0.05,0.15,62.10M,15.79M,31.90M,1.32 - 9.80,"
</"
EGOV,Consumer Services,Professional Services,46.57,2.78,0.35,1.53,12.27,5.29,50.10M,64.66M,1.09B,9.95 - 17.35,"
</"
EGRW,,,N/A,N/A,N/A,2.6,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EGT,,,120,N/A,0.017,N/A,1.75,2.02,9.50M,29.95M,62.00M,0.00 - 0.00,"
</"
EHTH,Finance,Specialty Insurers,71.26,4.51,0.342,N/A,3.05,3.22,19.40M,20.25M,499.20M,14.34 - 28.17,"
</"
EIHI,Finance,Property-Casualty Insurers,14.62,1.46,1.256,1.53,1.02,0.86,14.30M,7.48M,142.10M,13.75 - 18.64,"
</"
ELGX,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,10.02,9.49,N/A,61.96M,969.00M,11.15 - 16.26,"
</"
ELNK,Technology,"Computer Software: Programming, Data Processing",62.39,44.73,0.109,2.94,0.97,0.52,283.90M,104.19M,715.80M,5.94 - 8.59,"
</"
ELON,Technology,Computer Communications Equipment,N/A,N/A,N/A,N/A,1.23,0.69,N/A,43.03M,108.00M,2.07 - 6.34,"
</"
ELOQ,,,N/A,N/A,N/A,N/A,10.69,8.98,120.00K,34.46M,809.50M,0.00 - 0.00,"
</"
ELOS,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,1.5,N/A,N/A,1.68,1.44,27.70M,35.50M,365.70M,7.21 - 11.77,"
</"
ELRC,Technology,Diversified Commercial Services,16.47,1.05,0.94,11.63,1.68,1.47,38.00M,24.00M,383.70M,13.51 - 19.35,"
</"
ELSE,Capital Goods,Industrial Machinery/Components,22.63,N/A,0.167,3.17,1.2,1.99,794.00K,3.39M,12.80M,3.29 - 4.40,"
</"
ELTK,Technology,Electrical Products,6.76,N/A,0.188,N/A,1.53,0.18,3.90M,6.65M,8.11M,0.87 - 1.69,"
</"
EMCB,,,N/A,N/A,N/A,3.69,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EMCF,Finance,Major Banks,10.62,N/A,2.071,3.27,0.91,2.01,N/A,1.75M,38.50M,15.97 - 25.00,"
</"
EMCI,Finance,Property-Casualty Insurers,9.03,2.03,2.764,3.25,0.82,0.63,N/A,12.89M,329.60M,19.00 - 27.39,"
</"
EMDI,,,N/A,N/A,N/A,1.19,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EMEY,,,N/A,N/A,N/A,2.42,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EMFN,,,N/A,N/A,N/A,1.49,N/A,N/A,N/A,N/A,N/A,21.10 - 29.84,"
</"
EMIF,,,N/A,N/A,N/A,2.87,N/A,N/A,N/A,N/A,N/A,29.34 - 36.32,"
</"
EMITF,Consumer Services,Building operators,N/A,N/A,N/A,N/A,0.4,0.15,76.10M,24.88M,39.80M,1.51 - 3.68,"
</"
EMKR,Technology,Semiconductors,N/A,2.15,N/A,N/A,2.13,0.97,N/A,26.38M,155.90M,3.45 - 6.04,"
</"
EML,,,11.62,N/A,1.346,3.2,1.29,0.61,16.70M,6.22M,102.20M,13.38 - 26.49,"
</"
EMMS,Consumer Services,Broadcasting,5.32,N/A,0.357,N/A,N/A,0.33,34.30M,39.45M,72.20M,0.68 - 2.57,"
</"
EMMSP,Consumer Services,Broadcasting,28.01,N/A,0.357,N/A,N/A,1.73,34.30M,39.43M,394.30M,8.28 - 21.53,"
</"
EMMT,,,N/A,N/A,N/A,2.59,N/A,N/A,N/A,N/A,N/A,17.57 - 23.33,"
</"
ENDP,Consumer Durables,Major Pharmaceuticals,295.89,1.28,0.107,N/A,1.93,1.19,905.90M,114.11M,3.58B,25.00 - 39.29,"
</"
ENG,Consumer Services,Military/Government/Technical,N/A,N/A,N/A,N/A,0.65,0.05,N/A,26.97M,17.80M,0.31 - 2.75,"
</"
ENMD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,6.37,27.6,N/A,22.49M,55.10M,1.23 - 2.98,"
</"
ENOC,Technology,"Computer Software: Programming, Data Processing",N/A,N/A,N/A,N/A,1.57,1.57,N/A,26.69M,416.90M,5.41 - 16.18,"
</"
ENPH,,,N/A,N/A,N/A,N/A,2.46,0.71,N/A,40.83M,166.60M,0.00 - 0.00,"
</"
ENSG,Health Care,Hospital/Nursing Management,12.69,0.75,2.251,0.86,1.93,0.76,116.80M,21.57M,622.80M,23.40 - 31.25,"
</"
ENTG,Consumer Non-Durables,Plastic Products,13.91,1.41,0.709,N/A,1.99,1.9,148.30M,137.47M,1.36B,7.45 - 10.18,"
</"
ENTR,Technology,Semiconductors,68.05,0.71,0.077,N/A,1.46,1.61,26.30M,88.55M,474.64M,3.40 - 7.38,"
</"
ENVI,,,N/A,N/A,N/A,N/A,0.74,0.95,N/A,26.95M,44.20M,0.00 - 0.00,"
</"
ENZN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,40.4,1.25,5.35,6.20M,44.41M,221.60M,4.27 - 7.87,"
</"
EONC,Public Utilities,Telecommunications Equipment,12.86,N/A,0.07,N/A,0.46,0.12,544.00K,2.82M,2.40M,0.67 - 1.90,"
</"
EOPN,,,217.68,N/A,0.082,N/A,21.77,6.02,4.40M,25.06M,461.90M,0.00 - 0.00,"
</"
EPAX,Consumer Services,Other Consumer Services,21.81,1.8,0.226,6.09,0.99,1.48,5.30M,17.62M,87.90M,4.03 - 5.97,"
</"
EPAY,Technology,Computer Software: Prepackaged Software,N/A,1.43,N/A,N/A,3.17,4.37,30.00M,35.04M,1.03B,16.96 - 29.90,"
</"
EPHC,Finance,Investment Managers,23.53,N/A,1.19,3.96,8.52,6.56,49.40M,23.68M,662.90M,19.47 - 28.10,"
</"
EPIQ,Technology,EDP Services,22.44,1.31,0.55,2.39,1.29,1.36,75.20M,35.90M,451.60M,10.21 - 13.76,"
</"
EPOC,Technology,EDP Services,N/A,3.62,N/A,N/A,3.41,2.64,N/A,24.87M,290.72M,6.90 - 11.97,"
</"
EQIX,Public Utilities,Telecommunications Equipment,88.11,3.47,2.445,N/A,4.66,5.64,784.10M,48.36M,10.54B,122.70 - 226.34,"
</"
ERIC,Technology,Radio And Television Broadcasting And Communications Equipment,18.74,0.55,0.619,N/A,1.74,1.11,3.69B,3.22B,39.45B,8.23 - 11.82,"
</"
ERIE,Finance,Specialty Insurers,24.6,2.79,2.9,5.96,4.86,0.68,N/A,53.18M,3.86B,61.13 - 80.63,"
</"
ERII,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,2.13,5.64,N/A,50.91M,195.00M,1.95 - 3.94,"
</"
EROC,Energy,Oil & Gas Production,N/A,6.67,N/A,6.97,1.43,1.6,235.70M,147.45M,1.39B,8.23 - 11.55,"
</"
ESBF,Finance,Savings Institutions,13.53,N/A,1.03,2.87,1.04,4.12,N/A,14.59M,204.10M,11.70 - 14.71,"
</"
ESBK,Finance,Major Banks,15.42,N/A,1.51,3.68,1.26,2.62,N/A,2.33M,54.60M,16.52 - 24.25,"
</"
ESCA,Consumer Non-Durables,Recreational Products/Toys,N/A,N/A,N/A,5.65,0.95,0.51,15.10M,13.43M,74.39M,4.65 - 6.10,"
</"
ESEA,Transportation,Marine Transportation,N/A,N/A,N/A,12.37,0.22,0.82,18.50M,45.25M,45.70M,0.86 - 3.20,"
</"
ESGR,Finance,Property-Casualty Insurers,8.79,1.18,13.995,N/A,1.36,13.59,32.90M,16.59M,2.07B,89.00 - 125.49,"
</"
ESIO,Energy,Industrial Machinery/Components,N/A,2.35,N/A,2.22,0.83,1.35,11.30M,29.39M,313.90M,9.28 - 16.34,"
</"
ESLT,Capital Goods,Military/Government/Technical,16.71,0.94,2.292,3.13,1.68,0.55,313.40M,41.70M,1.63B,29.57 - 42.09,"
</"
ESMC,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,46.82,0.32,N/A,7.52M,7.60M,0.25 - 1.68,"
</"
ESRX,Health Care,Medical/Nursing Services,31.97,0.83,1.671,N/A,1.9,0.55,4.45B,816.40M,44.75B,45.93 - 66.06,"
</"
ESSA,Finance,Banks,56.75,N/A,0.194,1.82,0.75,3.57,N/A,12.09M,136.00M,9.34 - 11.41,"
</"
ESSX,,,N/A,N/A,N/A,N/A,1.28,1.01,11.80M,24.55M,94.50M,2.82 - 4.56,"
</"
ESYS,Capital Goods,Industrial Machinery/Components,18.31,N/A,0.249,N/A,1.41,0.83,2.30M,3.93M,18.50M,2.84 - 5.43,"
</"
ETFC,Finance,Savings Institutions,N/A,0.69,N/A,N/A,0.62,2.22,N/A,286.02M,3.09B,7.08 - 11.50,"
</"
ETRM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,0.65,N/A,N/A,7.63,413.67,N/A,41.70M,120.10M,1.95 - 4.40,"
</"
EUFN,,,N/A,N/A,N/A,2.72,N/A,N/A,N/A,N/A,N/A,13.52 - 21.40,"
</"
EVAC,,,10.36,N/A,0.674,N/A,1.88,0.79,181.30M,112.85M,800.10M,0.00 - 0.00,"
</"
EVAL,,,N/A,N/A,N/A,2.74,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EVBS,Finance,Major Banks,22.92,N/A,0.267,N/A,0.51,1.03,N/A,6.03M,36.80M,2.76 - 6.25,"
</"
EVEP,Energy,Oil & Gas Production,763.64,66.59,0.077,3.9,2.24,8.99,179.00M,42.32M,2.53B,43.56 - 73.75,"
</"
EVOL,Technology,EDP Services,12.17,N/A,0.516,29.46,2.3,2.93,4.40M,11.35M,72.30M,5.00 - 7.25,"
</"
EWBC,Finance,Major Banks,12.41,1.78,1.89,1.71,1.42,3.92,N/A,138.81M,3.30B,19.68 - 24.39,"
</"
EXA,,,8.94,N/A,1.12,N/A,3.81,2.71,4.30M,13.24M,131.20M,0.00 - 0.00,"
</"
EXAC,Health Care,Industrial Specialties,23.69,1.46,0.81,N/A,1.54,1.17,35.70M,13.31M,254.80M,14.42 - 19.55,"
</"
EXAR,Technology,Semiconductors,N/A,1.5,N/A,N/A,2.08,4.06,5.80M,45.92M,484.50M,6.63 - 10.67,"
</"
EXAS,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,6.35,169.33,N/A,63.77M,717.40M,8.82 - 12.30,"
</"
EXEL,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,0.22,N/A,N/A,2.51,6.44,N/A,183.59M,873.88M,4.19 - 6.95,"
</"
EXFO,Capital Goods,Electrical Products,N/A,6.13,N/A,N/A,1.32,1.35,11.50M,60.29M,349.10M,4.37 - 8.08,"
</"
EXLP,Public Utilities,Natural Gas Distribution,N/A,34.53,N/A,8.53,2.26,2.69,141.50M,42.28M,1.00B,18.30 - 25.00,"
</"
EXLS,Miscellaneous,Business Services,24.95,1.05,1.189,N/A,2.84,2.23,81.10M,32.15M,960.20M,20.28 - 30.10,"
</"
EXPD,Transportation,Oil Refining/Marketing,26.81,1.8,1.6,1.31,4.29,1.51,597.40M,208.97M,8.99B,34.20 - 47.48,"
</"
EXPE,Consumer Services,Transportation Services,26.34,1.47,2.477,0.67,3.73,2.29,705.60M,134.87M,9.07B,30.97 - 66.86,"
</"
EXPO,Consumer Services,Professional Services,18.8,1.68,2.6,N/A,3.1,2.29,62.20M,13.73M,661.10M,45.21 - 58.92,"
</"
EXTR,Technology,Computer Communications Equipment,18.45,1.32,0.2,N/A,1.85,1.12,17.90M,94.50M,338.30M,2.87 - 4.43,"
</"
EXXI,Energy,Oil & Gas Production,11.55,1.14,2.712,0.67,1.75,1.96,814.30M,79.35M,2.50B,26.20 - 39.65,"
</"
EZCH,Technology,Computer Communications Equipment,183.27,1.99,0.168,N/A,3.28,16.1,13.00M,28.12M,866.60M,27.02 - 46.79,"
</"
EZPW,Consumer Services,Other Specialty Stores,8.42,0.6,2.636,N/A,1.25,1.12,219.60M,51.35M,1.13B,16.57 - 33.38,"
</"
FABK,Finance,Savings Institutions,21.26,N/A,0.602,1.72,0.76,3.04,N/A,3.92M,50.20M,12.53 - 13.99,"
</"
FALC,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,8.99,1.63,N/A,47.55M,126.00M,1.69 - 3.96,"
</"
FANG,,,48.95,0.42,0.458,N/A,6.65,13.26,29.30M,36.99M,839.60M,0.00 - 0.00,"
</"
FARM,Consumer Non-Durables,Packaged Foods,N/A,1.21,N/A,N/A,2.87,0.42,16.60M,15.49M,211.10M,6.73 - 15.37,"
</"
FARO,Capital Goods,Industrial Machinery/Components,23.13,1.36,1.436,N/A,2.07,2.09,39.70M,16.97M,571.20M,31.10 - 59.66,"
</"
FAST,Consumer Services,RETAIL: Building Materials,34.99,1.7,1.42,2.36,9.44,4.7,727.30M,296.57M,15.02B,37.61 - 55.05,"
</"
FB,,,3098.1,1.79,0.01,N/A,6.24,14.42,1.19B,2.37B,70.40B,0.00 - 0.00,"
</"
FBIZ,Finance,Major Banks,7.25,N/A,3.338,1.16,0.91,2.22,N/A,3.76M,92.60M,16.20 - 26.30,"
</"
FBMI,Finance,Major Banks,10.08,N/A,1.16,0.77,0.72,1.57,N/A,8.00M,92.00M,6.35 - 11.91,"
</"
FBMS,Finance,Major Banks,8.88,N/A,1.16,1.48,0.49,1.18,N/A,3.12M,32.50M,8.11 - 11.02,"
</"
FBNC,Finance,Major Banks,635,N/A,0.02,2.52,0.77,2.16,N/A,17.01M,223.00M,7.68 - 13.78,"
</"
FBNK,,,N/A,12.73,N/A,0.85,0.97,4.39,N/A,16.73M,237.00M,12.39 - 14.23,"
</"
FBRC,,,N/A,N/A,N/A,N/A,0.94,1.47,N/A,48.93M,200.60M,2.15 - 4.12,"
</"
FBSS,Finance,Major Banks,14.19,N/A,0.856,3.95,0.93,1.89,N/A,3.69M,45.00M,9.01 - 13.45,"
</"
FCAL,Finance,Major Banks,22.34,2.44,0.359,N/A,1.11,3.16,N/A,29.22M,236.10M,4.42 - 8.18,"
</"
FCAP,Finance,Savings Institutions,13.86,N/A,1.408,3.9,1.03,2.81,N/A,2.78M,54.30M,18.38 - 21.67,"
</"
FCBC,Finance,Major Banks,13.59,1.59,1.174,2.7,0.96,2.93,N/A,20.09M,324.20M,11.66 - 16.35,"
</"
FCCO,Finance,Major Banks,11.49,N/A,0.79,1.87,0.88,1.88,N/A,5.23M,47.50M,7.00 - 9.25,"
</"
FCCY,Finance,Savings Institutions,10,0.57,0.9,N/A,0.81,1.73,N/A,5.93M,52.80M,7.55 - 9.50,"
</"
FCEL,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,13.97,1.71,N/A,189.45M,208.40M,0.83 - 1.95,"
</"
FCFC,Finance,Finance Companies,3.46,N/A,2.842,N/A,0.8,1.84,N/A,10.56M,103.80M,7.00 - 10.83,"
</"
FCFS,Consumer Services,Other Specialty Stores,19.71,0.83,2.705,N/A,4.36,2.58,136.50M,28.80M,1.54B,34.78 - 54.45,"
</"
FCHI,,,N/A,N/A,N/A,2.13,N/A,N/A,N/A,N/A,N/A,39.71 - 51.53,"
</"
FCLF,Finance,Savings Institutions,26.64,N/A,0.268,3.36,0.69,3.51,N/A,7.51M,54.10M,5.69 - 7.50,"
</"
FCNCA,Finance,Major Banks,12.52,N/A,13.93,0.69,0.91,1.83,N/A,10.25M,1.81B,155.00 - 187.72,"
</"
FCTY,Finance,Major Banks,18.56,N/A,0.271,N/A,0.89,2.92,N/A,8.55M,43.00M,3.74 - 5.19,"
</"
FCVA,Finance,Major Banks,N/A,N/A,N/A,N/A,0.85,4.78,N/A,11.91M,38.70M,1.91 - 4.00,"
</"
FCZA,Finance,Major Banks,12,4.98,0.5,2,0.57,1.05,N/A,7.70M,46.30M,4.52 - 7.10,"
</"
FDEF,Finance,Savings Institutions,11.31,1.31,1.81,0.98,0.77,2.16,N/A,9.73M,206.40M,14.75 - 20.75,"
</"
FDML,Capital Goods,Auto Parts:O.E.M.,N/A,N/A,N/A,N/A,0.99,0.14,525.00M,98.90M,944.50M,6.90 - 17.97,"
</"
FDUS,,,9.21,1.47,1.946,8.14,1.17,6.78,N/A,11.93M,215.10M,12.36 - 18.09,"
</"
FEFN,,,N/A,N/A,N/A,3.19,N/A,N/A,N/A,N/A,N/A,20.53 - 25.86,"
</"
FEIC,Capital Goods,Biotechnology: Laboratory Analytical Instruments,21.84,1.32,2.791,0.39,2.92,2.66,168.80M,38.11M,2.34B,41.52 - 64.74,"
</"
FEIM,Capital Goods,Electrical Products,10.56,N/A,0.869,2.18,0.94,1.15,8.90M,8.40M,76.88M,6.71 - 9.88,"
</"
FELE,Consumer Durables,Metal Fabrications,19.55,0.53,3.403,0.86,3.05,1.79,136.40M,23.52M,1.56B,45.93 - 67.49,"
</"
FES,,,5.43,N/A,0.429,N/A,0.36,0.1,106.40M,21.15M,53.30M,1.66 - 7.00,"
</"
FFBC,Finance,Major Banks,13.41,N/A,1.14,7.72,1.25,2.73,N/A,58.09M,910.80M,13.87 - 18.39,"
</"
FFBCW,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.10 - 6.28,"
</"
FFBH,Finance,Savings Institutions,N/A,N/A,N/A,N/A,2.71,8.62,N/A,19.30M,190.70M,5.40 - 10.74,"
</"
FFCH,Finance,Savings Institutions,10.05,2.61,1.508,1.32,0.84,1.47,N/A,16.53M,254.50M,8.49 - 15.35,"
</"
FFCO,Finance,Savings Institutions,27.98,N/A,0.615,2.32,0.84,3.65,N/A,2.86M,48.30M,13.50 - 17.69,"
</"
FFEX,Transportation,Trucking Freight/Courier Services,N/A,N/A,N/A,N/A,0.59,0.05,N/A,18.02M,20.00M,0.75 - 2.50,"
</"
FFHL,Capital Goods,Specialty Chemicals,N/A,N/A,N/A,N/A,0.25,0.35,1.20M,13.07M,21.70M,0.80 - 2.48,"
</"
FFIC,Finance,Savings Institutions,14.02,1.82,1.13,3.28,1.1,3.52,N/A,30.74M,493.40M,12.26 - 17.01,"
</"
FFIN,Finance,Major Banks,17.41,1.73,2.358,2.41,2.32,6.2,N/A,31.50M,1.33B,30.50 - 42.62,"
</"
FFIV,Technology,Computer Communications Equipment,29.97,1.22,3.5,N/A,5.94,5.8,474.80M,78.58M,8.33B,81.07 - 139.46,"
</"
FFKT,Finance,Major Banks,11.04,3.28,1.371,N/A,0.67,1.51,N/A,7.47M,118.70M,4.70 - 15.46,"
</"
FFKY,Finance,Major Banks,N/A,N/A,N/A,N/A,0.5,0.48,N/A,4.78M,14.10M,1.46 - 4.17,"
</"
FFN,,,N/A,N/A,N/A,N/A,N/A,0.07,69.30M,31.60M,23.70M,0.51 - 2.72,"
</"
FFNM,Finance,Major Banks,20.55,N/A,0.238,N/A,0.56,1.66,N/A,2.89M,13.80M,2.93 - 5.00,"
</"
FFNW,Finance,Banks,54.07,N/A,0.15,N/A,0.82,5.65,N/A,18.80M,152.30M,6.41 - 8.35,"
</"
FHCO,Basic Industries,Specialty Chemicals,13.68,N/A,0.56,N/A,8.87,5.98,12.20M,28.33M,215.90M,4.85 - 8.39,"
</"
FIBK,Finance,Major Banks,13.57,1.18,1.27,2.84,1,2.36,N/A,43.55M,766.10M,13.21 - 17.25,"
</"
